1,2,1,1,1,10,1,2,1,1,1,2,1,3,1,0
2,3,3,1,1,9,2,2,1,1,3,2,1,1,2,0
2,2,2,1,1,9,2,2,1,2,1,2,1,3,2,0
1,2,2,1,1,10,1,2,1,1,3,1,1,2,1,0
1,1,3,1,1,10,1,2,1,2,1,2,3,3,1,0
1,2,2,1,1,7,1,2,1,2,1,1,1,3,1,0
1,2,2,1,1,8,2,2,1,2,1,1,1,3,2,0
2,2,3,1,1,3,1,1,1,2,1,2,1,1,2,0
1,3,2,2,2,6,2,2,1,2,1,2,1,3,1,0
1,3,3,2,2,10,1,2,1,2,1,1,1,1,2,0
1,1,2,1,1,1,2,2,2,2,1,1,1,3,1,0
1,2,2,1,1,1,2,2,1,2,1,2,1,3,1,0
2,2,3,1,1,6,1,1,1,2,1,1,1,1,1,0
1,3,3,1,1,6,1,1,2,2,1,2,1,1,2,0
2,3,3,1,1,9,1,2,1,1,3,1,1,1,1,0
1,2,3,2,2,6,1,1,1,1,3,1,1,3,1,0
1,2,2,1,1,7,1,1,1,1,2,1,1,3,1,0
2,2,3,1,1,9,1,2,1,1,3,2,1,3,1,0
1,1,2,1,1,2,2,1,1,2,1,1,1,1,1,0
2,1,3,1,1,3,2,1,1,1,3,2,1,1,1,0
1,2,3,1,1,1,1,2,1,1,3,2,1,3,2,0
1,2,2,1,1,1,1,1,1,2,1,2,3,3,1,0
2,3,3,1,1,1,1,2,1,1,3,1,1,1,2,0
2,2,3,1,1,11,2,2,1,1,1,2,1,3,1,0
2,3,3,1,1,9,1,1,1,1,2,1,1,3,1,0
2,1,2,1,1,1,2,2,1,1,1,2,1,2,1,0
2,3,3,1,1,4,3,2,1,1,3,1,1,1,1,0
1,3,3,1,1,2,3,2,1,1,3,1,1,1,1,0
1,3,3,1,1,12,2,2,1,1,2,2,1,1,1,0
1,3,2,1,1,10,1,2,1,1,3,1,1,3,2,0
1,2,3,1,1,13,1,2,1,1,3,1,1,3,1,0
1,3,3,1,1,11,2,2,1,1,3,2,1,1,1,0
1,3,3,1,1,4,3,2,1,1,3,1,1,1,2,0
2,2,3,1,1,12,1,2,1,2,1,1,1,1,2,0
2,2,3,1,1,9,1,1,1,1,3,1,1,1,2,0
1,2,2,1,1,10,1,2,1,1,3,1,1,3,1,0
1,2,2,1,1,3,2,2,1,1,3,1,1,3,2,0
2,2,3,1,1,11,2,1,1,1,1,1,1,3,2,0
1,2,2,2,2,3,1,1,1,1,1,2,1,3,2,0
1,3,3,1,1,14,8,2,1,1,3,1,1,1,1,0
1,2,3,1,1,1,1,2,1,1,3,1,1,1,1,0
1,2,3,1,1,1,2,2,1,1,3,2,1,1,2,0
1,2,2,1,1,10,2,1,1,1,1,2,1,3,1,0
1,3,3,1,1,10,1,2,1,1,3,1,1,1,1,0
1,3,3,2,2,1,1,2,1,1,3,2,1,1,1,0
1,3,3,1,1,1,2,2,1,1,3,1,1,1,1,0
2,3,2,2,2,9,2,1,1,1,3,1,1,3,2,0
1,2,3,1,1,3,2,2,1,1,2,2,1,3,1,0
